episode,timestep,reward
5,3000,-102.4281
13,6000,-98.2533
20,9000,-99.3457
25,12000,-93.0256
27,15000,-69.0166
32,18000,-102.5316
35,21000,-87.6263
38,24000,-87.9605
44,27000,-99.3239
50,30000,-98.7747
52,33000,-77.0137
54,36000,-76.0518
58,39000,-87.9082
60,42000,-72.6729
64,45000,-87.7811
66,48000,-72.5517
68,51000,-73.6369
70,54000,-75.2155
72,57000,-70.9372
74,60000,-73.506
77,63000,-81.2042
80,66000,-95.2583
83,69000,-78.8757
85,72000,-68.0535
87,75000,-68.0875
89,78000,-65.1345
92,81000,-79.1209
96,84000,-87.6772
99,87000,-81.3204
101,90000,-61.5145
103,93000,-67.8198
105,96000,-58.9343
107,99000,-59.4549
111,102000,-83.5303
114,105000,-74.1843
119,108000,-91.135
122,111000,-76.6211
127,114000,-90.7474
130,117000,-78.5336
132,120000,-58.3146
134,123000,-56.3419
136,126000,-57.4072
139,129000,-75.8862
141,132000,-76.7795
143,135000,-60.3318
145,138000,-59.1643
148,141000,-69.9022
150,144000,-58.4519
152,147000,-57.9648
154,150000,-50.7941
156,153000,-50.1169
158,156000,-53.6905
161,159000,-70.7297
164,162000,-68.5202
166,165000,-49.2681
168,168000,-53.7863
171,171000,-69.6144
173,174000,-44.4102
176,177000,-76.0152
179,180000,-94.8144
181,183000,-92.8185
183,186000,-42.6777
185,189000,-46.4551
187,192000,-48.0289
189,195000,-43.815
191,198000,-39.0788
194,201000,-54.4729
197,204000,-65.118
199,207000,-38.0908
201,210000,-37.7538
203,213000,-35.0828
205,216000,-123.5747
207,219000,-41.2272
209,222000,-37.5371
211,225000,-88.0518
213,228000,-27.4368
215,231000,-29.2632
217,234000,-31.2747
219,237000,-42.1035
221,240000,-37.4361
223,243000,-35.0289
225,246000,-31.5522
227,249000,-22.2652
230,252000,-47.0576
232,255000,-23.5569
234,258000,-14.7349
236,261000,-12.879
238,264000,-13.784
240,267000,-12.361
242,270000,-21.6886
244,273000,-16.0202
246,276000,-4.7819
248,279000,2.091
250,282000,-8.4428
252,285000,1.5807
254,288000,-47.1455
256,291000,-6.901
258,294000,-5.7741
260,297000,-5.2988
262,300000,14.4268
265,303000,-19.8344
267,306000,13.4079
270,309000,-60.4651
272,312000,6.5999
274,315000,22.0955
276,318000,24.3433
278,321000,15.9015
280,324000,25.7081
283,327000,-24.2151
285,330000,18.2552
288,333000,-13.8407
290,336000,16.838
292,339000,31.6269
294,342000,20.4775
296,345000,34.9067
298,348000,27.7074
300,351000,44.3875
302,354000,42.2743
304,357000,35.95
306,360000,57.2578
308,363000,-1.5854
311,366000,3.3271
314,369000,11.701
317,372000,-48.7963
320,375000,10.9399
322,378000,-6.8297
324,381000,55.9641
327,384000,-11.8834
329,387000,30.5113
331,390000,51.0251
333,393000,-66.3149
335,396000,35.8758
338,399000,-71.9108
340,402000,47.5056
342,405000,57.8877
345,408000,18.431
347,411000,57.4151
349,414000,-0.1142
351,417000,49.2056
353,420000,20.9473
356,423000,-25.7771
359,426000,20.922
361,429000,4.6956
363,432000,58.8808
366,435000,13.4028
368,438000,70.911
370,441000,68.905
372,444000,67.0439
374,447000,78.3561
376,450000,86.392
378,453000,66.9607
380,456000,71.5383
382,459000,69.9365
384,462000,93.6496
386,465000,77.437
388,468000,107.0584
390,471000,96.1643
392,474000,84.9684
394,477000,34.8498
396,480000,88.6554
399,483000,-7.6473
401,486000,109.8649
403,489000,101.4036
405,492000,100.2815
407,495000,93.9357
409,498000,110.553
411,501000,110.6617
413,504000,123.002
415,507000,122.0607
417,510000,126.6166
419,513000,108.035
421,516000,118.2309
423,519000,112.1921
425,522000,111.7401
427,525000,132.608
429,528000,129.8223
431,531000,130.3901
433,534000,58.6623
435,537000,129.052
437,540000,125.1628
439,543000,66.6321
441,546000,45.2268
443,549000,125.6185
445,552000,117.9626
